mmsi,ccamlr_fishing,ccamlr_label,ccamlr_sublabel,ccamlr_length,ccamlr_tonnage
503595000,Fishing vessel,Drifting longlines,Drifting longlines,62.8,1136.0
503552000,Fishing vessel,Fishing vessel,Fishing vessel,68.1,1906.0
503556000,Fishing vessel,Fishing vessel,Fishing vessel,59.8,1045.0
503000087,Fishing vessel,Drifting longlines,Drifting longlines,54.58,1155.0
508770000,Fishing vessel,Drifting longlines,Drifting longlines,49.9,1362.0
503057000,Fishing vessel,Trawlers,Trawlers,87.19,1696.0
725004140,Fishing vessel,Drifting longlines,Drifting longlines,51.0,985.0
725000291,Fishing vessel,Trawlers,Trawlers,72.05,1438.7
412217999,Fishing vessel,Trawlers,Trawlers,110.0,5306.0
413222000,Fishing vessel,Trawlers,Trawlers,105.0,7671.0
413236000,Fishing vessel,Trawlers,Trawlers,120.7,7847.0
413219000,Fishing vessel,Trawlers,Trawlers,120.7,7847.0
412280982,Fishing vessel,Trawlers,Trawlers,92.33,3879.0
412270002,Fishing vessel,Trawlers,Trawlers,120.7,7765.0
412331051,Fishing vessel,Trawlers,Trawlers,120.7,7765.0
618000500,Fishing vessel,Drifting longlines,Drifting longlines,56.4,1387.0
440755000,Fishing vessel,Drifting longlines,Drifting longlines,53.4,694.0
440203000,Fishing vessel,Drifting longlines,Drifting longlines,51.01,573.0
441868000,Fishing vessel,Drifting longlines,Drifting longlines,47.11,862.0
440863000,Fishing vessel,Trawlers,Trawlers,93.5,3314.0
441699000,Fishing vessel,Trawlers,Trawlers,110.22,7765.0
441864000,Fishing vessel,Drifting longlines,Drifting longlines,51.91,628.0
512006000,Fishing vessel,Drifting longlines,Drifting longlines,46.5,1079.0
512008000,Fishing vessel,Drifting longlines,Drifting longlines,46.5,1079.0
512027000,Fishing vessel,Drifting longlines,Drifting longlines,51.2,1508.0
258139000,Fishing vessel,Trawlers,Trawlers,133.88,9432.0
258261000,Fishing vessel,Trawlers,Trawlers,99.5,5500.0
259539000,Fishing vessel,Trawlers,Trawlers,92.0,4861.0
257155000,Fishing vessel,Drifting longlines,Drifting longlines,54.58,1155.0
273338570,Fishing vessel,Drifting longlines,Drifting longlines,49.56,743.0
273354130,Fishing vessel,Drifting longlines,Drifting longlines,49.9,1137.27
273341320,Fishing vessel,Drifting longlines,Drifting longlines,49.6,788.0
273350850,Fishing vessel,Drifting longlines,Drifting longlines,58.2,660.0
224623000,Fishing vessel,Drifting longlines,Drifting longlines,55.0,1058.0
272208000,Fishing vessel,Trawlers,Trawlers,103.1,6394.0
272364000,Fishing vessel,Drifting longlines,Drifting longlines,55.46,871.0
665111119,Fishing vessel,Drifting longlines,Drifting longlines,52.55,1352.0
665111117,Fishing vessel,Drifting longlines,Drifting longlines,46.58,897.0
740372000,Fishing vessel,Trawlers,Trawlers,74.5,1794.0
740382000,Fishing vessel,Drifting longlines,Drifting longlines,55.0,1058.0
770576321,Fishing vessel,Drifting longlines,Drifting longlines,50.0,852.0
